id,Brown dwarf,Constellation,Declination,Distance (ly),Mass (MJ),Radius (RJ)
0,54 Piscium,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
1,81 Cancri,Cancer,14°  59 ′  39.6″,66,L8,CD
2,AB Pictoris,Pictor,−58° 03′ 15″,66.6,K2V,b
3,CD−33°7795,Hydra,–34° 36′ 17″,163.08,M1,b
4,CT Chamaeleontis,Chamaeleon,–76° 27′ 19″,538,K7,b
5,Eta Coronae Borealis,Corona Borealis,30° 14′ 56″,58.3,L8,C
6,G 196-3,Ursa Major,+50° 23′ 23″,50.2,M2.5,b
7,GD 165,Boötes,9° 17′ 13.98″,103,D4A+L4,B
8,Gliese 570,Libra,−21° 24′ 56″,19.0,K4V+M1V+M3V,D
9,GU Piscium,Pisces,+17° 03′ 55.7″,155.3,M3V,b
10,HD 89744,Ursa Major,+41° 13′ 46.31″,126.2,F7IV,B
11,HD 100546,Musca,–70° 11′ 41″,337.25,B9Vne,b
12,HN Pegasi,Pegasus,+14° 46′ 7.8″,58.3,T2.5,B
13,LHS 4040 [es],Sculptor,－33°  16 ′  26.6″,,M8.5V,C
14,UScoCTIO 108,Scorpius,–18° 18′ 43″,473,M7,b
15,WD 0137-349,Sculptor,−34° 42′ 39″,330,DA,B
16,HD 41004 B,Pictor,–48° 14′ 23″,139,M2,b
17,CoRoT-15,Monoceros,+6° 11′ 10.5″,,F7V,b
18,Xi Ursae Majoris B,Ursa Major,+31° 32′ 15″,25.11,F8.5V,b
19,Upsilon Andromedae,Andromeda,+41° 24′ 20″,43.9,F8V,Samh
20,Gliese 758,Lyra,+33° 13′ 19″,51.9,G8V,B
21,HD 112758,Virgo,–09° 50′ 03″,53.81,K0V,b
22,BD−04°782,Eridanus,–04° 25′ 06″,66.6,K5V,b
23,HD 110833,Canes Venatici,+51° 45′ 40″,55.44,K3V,b
24,HD 89707,Hydra,–15° 28′ 48″,81.54,G1V,b
25,Tau Geminorum,Gemini,+30° 14′ 43″,302,K2III,b
26,HAT-P-13,Ursa Major,+47° 21′ 07″,698,G4,c
27,HD 217580,Aquarius,–03° 50′ 55″,58.7,K4V,b
28,HD 16760,Perseus,+38° 37′ 07″,163,G5V,b
29,HD 13189,Triangulum,+32° 18′ 59″,603.4,K2II,b
30,HD 18445,Fornax,–24° 58′ 30″,83.92,K2V,b
31,HD 8673,Andromeda,+34° 34′ 47″,124.75,F7V,b
32,NGC 4349-127,Crux,−61° 52′ 18″,7097,MIII?,b
33,Gliese 569,Boötes,+16° 06′ 04″,31.5,M3V,Ba + Bb
34,HD 29587,Perseus,+42° 07′ 25″,146.77,G2V,b
35,ChaHα8,Chamaeleon,−77° 40′ 08″,522,M6.5,b
36,CoRoT-20,Monoceros,+0° 13′ 37″,4000,G2V,c
37,HD 168443,Serpens,–09° 35′ 34″,123.5,G5,c
38,HD 38529 A,Orion,+01° 10′ 05″,138,G4IV,c
39,Epsilon Indi,Indus,–56° 47′ 09″,11.8,K5V,Bb
40,HW Virginis,Virgo,−08° 40′ 17″,590,sdB+M,b
41,DT Virginis,Virgo,12°  21 ′  14.7″,37.55,P,c
42,HD 4113,Sculptor,−37° 58′ 57.48″,136,G5V,C
43,Gliese 229,Lepus,–21° 51′ 42″,19,M1V,B
44,TYC 9486-927-1,Octans,－81° 40′ 29.3″,111,L3γ,2MASS J2126-8140
45,Epsilon Indi,Indus,–56° 47′ 09″,11.8,K5V,Ba
46,HD 131664,Apus,−73° 32′ 07″,180.8,G3V,b
47,HD 136118,Serpens,−01° 35′ 32″,171,F9V,b
48,HD 140913,Corona Borealis,+28° 28′ 12″,156.42,G0V,b
49,GQ Lupi b,Lupus,–35° 39′ 03″,400,K7eV,b
50,HD 162020,Scorpius,–40° 19′ 06″,101.95,K2V,b
51,Nu Ophiuchi,Ophiuchus,−09° 46′ 25″,152.8,K0III,b
52,HD 164427,Telescopium,−59° 12′ 35″,127.52,G4IV,b
53,SCR 1845-6357,Pavo,−63° 57′ 43″,12.57,M8.5V,B
54,COROT-3,Aquila,+00° 07′ 19″,2220,G0V,b
55,V921 Scorpii[8],Scorpius,−42° 42′ 09.0″,4833,B0IVe,b
56,15 Sagittae,Sagitta,+17° 04′ 13″,57.7,G1V,B
57,Zeta Delphini,Delphinus,+14° 40′ 27″,220,A3V,B
58,HD 202206,Capricornus,–20° 47′ 20″,151.14,G6V,b
